name,algo,alpha_cql,nat_alpha,ret_lambda,beta,seed,acq,ret
A_reward_natA0.005_retL2.0_seed0,cql,1.0,0.005,2.0,3,0,64.5,35.0
A_reward_natA0.01_retL0.5_seed0,cql,1.0,0.01,0.5,3,0,71.8,29.8
A_reward_natA0.01_retL2.0_seed0,cql,1.0,0.01,2.0,3,0,67.5,29.6
A_reward_natA0.005_retL0.5_seed0,cql,1.0,0.005,0.5,3,0,68.2,36.2
A_reward_natA0.05_retL2.0_seed0,cql,1.0,0.05,2.0,3,0,79.8,31.9
A_reward_natA0.05_retL0.5_seed1,cql,1.0,0.05,0.5,3,1,49.7,11.1
A_reward_natA0.005_retL0.5_seed1,cql,1.0,0.005,0.5,3,1,57.3,11.7
A_reward_natA0.01_retL0.5_seed2,cql,1.0,0.01,0.5,3,2,58.1,16.4
A_reward_natA0.005_retL0.5_seed3,cql,1.0,0.005,0.5,3,3,39.5,15.6
A_reward_natA0.05_retL0.5_seed0,cql,1.0,0.05,0.5,3,0,91.6,51.3
A_reward_natA0.005_retL0.5_seed2,cql,1.0,0.005,0.5,3,2,62.7,11.4
A_reward_natA0.005_retL2.0_seed1,cql,1.0,0.005,2.0,3,1,59.2,16.6
A_reward_natA0.01_retL0.5_seed1,cql,1.0,0.01,0.5,3,1,45.8,13.7
A_reward_natA0.005_retL2.0_seed2,cql,1.0,0.005,2.0,3,2,58.8,11.2
A_reward_natA0.05_retL2.0_seed3,cql,1.0,0.05,2.0,3,3,48.6,16.9
A_reward_natA0.005_retL0.5_seed4,cql,1.0,0.005,0.5,3,4,44.6,8.2
A_reward_natA0.01_retL2.0_seed4,cql,1.0,0.01,2.0,3,4,38.1,7.7
A_reward_natA0.05_retL0.5_seed4,cql,1.0,0.05,0.5,3,4,53.7,17.6
A_reward_natA0.01_retL0.5_seed3,cql,1.0,0.01,0.5,3,3,49.3,17.8
B_alphaCQL_acql0.1_seed2,cql,0.1,0.01,1.0,3,2,37.2,9.6
A_reward_natA0.01_retL2.0_seed1,cql,1.0,0.01,2.0,3,1,55.5,11.2
A_reward_natA0.01_retL2.0_seed3,cql,1.0,0.01,2.0,3,3,38.3,13.3
A_reward_natA0.05_retL2.0_seed4,cql,1.0,0.05,2.0,3,4,59.8,14.7
B_alphaCQL_acql0.1_seed0,cql,0.1,0.01,1.0,3,0,69.3,31.4
B_alphaCQL_acql0.1_seed1,cql,0.1,0.01,1.0,3,1,76.9,28.4
B_alphaCQL_acql10.0_seed1,cql,10.0,0.01,1.0,3,1,58.1,9.6
B_alphaCQL_acql5.0_seed0,cql,5.0,0.01,1.0,3,0,53.6,24.8
B_alphaCQL_acql10.0_seed2,cql,10.0,0.01,1.0,3,2,58.5,11.7
B_alphaCQL_acql5.0_seed1,cql,5.0,0.01,1.0,3,1,60.2,12.1
A_reward_natA0.01_retL2.0_seed2,cql,1.0,0.01,2.0,3,2,34.7,9.0
B_alphaCQL_acql0.1_seed3,cql,0.1,0.01,1.0,3,3,41.6,11.9
B_alphaCQL_acql5.0_seed3,cql,5.0,0.01,1.0,3,3,68.8,21.4
C_IQL_beta3.0_seed0,iql,1.0,0.01,1.0,3,0,99.4,55.2
A_reward_natA0.05_retL2.0_seed2,cql,1.0,0.05,2.0,3,2,35.4,6.8
A_reward_natA0.05_retL2.0_seed1,cql,1.0,0.05,2.0,3,1,45.3,11.1
A_reward_natA0.05_retL0.5_seed3,cql,1.0,0.05,0.5,3,3,53.7,15.7
C_IQL_beta10.0_seed0,iql,1.0,0.01,1.0,10,0,98.2,50.3
B_alphaCQL_acql10.0_seed4,cql,10.0,0.01,1.0,3,4,52.5,8.7
A_reward_natA0.01_retL0.5_seed4,cql,1.0,0.01,0.5,3,4,56.8,19.1
C_IQL_beta30.0_seed0,iql,1.0,0.01,1.0,30,0,56.6,20.8
B_alphaCQL_acql10.0_seed3,cql,10.0,0.01,1.0,3,3,33.0,9.8
C_IQL_beta3.0_seed2,iql,1.0,0.01,1.0,3,2,42.8,13.6
C_IQL_beta3.0_seed4,iql,1.0,0.01,1.0,3,4,40.1,11.9
C_IQL_beta30.0_seed4,iql,1.0,0.01,1.0,30,4,52.9,18.1
B_alphaCQL_acql5.0_seed2,cql,5.0,0.01,1.0,3,2,34.9,9.8
C_IQL_beta10.0_seed4,iql,1.0,0.01,1.0,10,4,40.6,9.1
D_final_cql_seed11,cql,1.0,0.01,1.0,3,11,44.4,13.4
D_final_cql_seed7,cql,1.0,0.01,1.0,3,7,35.0,14.9
C_IQL_beta30.0_seed2,iql,1.0,0.01,1.0,30,2,41.0,13.0
C_IQL_beta10.0_seed1,iql,1.0,0.01,1.0,10,1,55.0,11.9
C_IQL_beta10.0_seed3,iql,1.0,0.01,1.0,10,3,42.3,16.4
D_final_cql_seed6,cql,1.0,0.01,1.0,3,6,46.2,17.4
D_final_cql_seed5,cql,1.0,0.01,1.0,3,5,56.1,18.0
D_final_cql_seed10,cql,1.0,0.01,1.0,3,10,36.2,6.6
C_IQL_beta3.0_seed3,iql,1.0,0.01,1.0,3,3,48.3,19.2
D_final_cql_seed12,cql,1.0,0.01,1.0,3,12,68.1,31.5
D_final_cql_seed9,cql,1.0,0.01,1.0,3,9,43.6,13.6
D_final_cql_seed14,cql,1.0,0.01,1.0,3,14,49.1,10.0
D_final_iql_seed8,iql,1.0,0.01,1.0,10,8,45.0,13.9
D_final_iql_seed9,iql,1.0,0.01,1.0,10,9,64.4,30.3
D_final_iql_seed12,iql,1.0,0.01,1.0,10,12,59.3,28.9
D_final_iql_seed6,iql,1.0,0.01,1.0,10,6,39.4,9.3
D_final_cql_seed13,cql,1.0,0.01,1.0,3,13,41.0,8.1
D_final_iql_seed5,iql,1.0,0.01,1.0,10,5,50.4,16.3
D_final_iql_seed11,iql,1.0,0.01,1.0,10,11,58.3,28.9
D_final_iql_seed13,iql,1.0,0.01,1.0,10,13,44.6,15.4
D_final_iql_seed10,iql,1.0,0.01,1.0,10,10,48.6,23.4
C_IQL_beta30.0_seed3,iql,1.0,0.01,1.0,30,3,45.6,9.6
B_alphaCQL_acql5.0_seed4,cql,5.0,0.01,1.0,3,4,41.7,8.2
